,Price,Area,Num_Rooms,Num_Halls,Location_Encoded,Floor_Encoded
1059,24000,120,3.0,1.0,24028.34008097166,11.0
1060,17500,115,3.0,1.0,17669.88416988417,18.0
1061,48000,133,3.0,1.0,36896.33375474084,0.0
1062,18500,100,3.0,1.0,18485.221674876848,0.0
1063,36000,190,4.0,1.0,36000.0,21.0
1064,13500,115,3.0,1.0,13661.904761904761,33.0
1065,24000,125,3.0,1.0,23984.615384615383,0.0
1066,33000,135,3.0,1.0,33000.0,18.0
1067,15000,100,3.0,1.0,17895.505617977527,27.0
1068,44000,150,3.0,1.0,44000.0,10.0
1069,49500,150,3.0,1.0,33058.29596412556,11.0
1070,39000,200,4.0,1.0,38472.906403940884,22.0
1071,36000,140,4.0,1.0,33058.29596412556,0.0
1072,35000,120,3.0,1.0,33058.29596412556,11.0
1073,25000,70,2.0,1.0,24990.04975124378,39.0
1074,40000,115,2.0,1.0,36896.33375474084,18.0
1075,28000,120,3.0,1.0,36896.33375474084,11.0
1076,26000,75,2.0,1.0,33058.29596412556,34.0
1077,26000,65,1.0,1.0,33058.29596412556,39.0
1078,24500,55,1.0,1.0,33058.29596412556,33.0
1079,22000,75,2.0,1.0,33058.29596412556,0.0
1080,20000,125,3.0,1.0,17895.505617977527,0.0
1081,30000,95,2.0,1.0,26196.83908045977,39.0
1082,17500,120,3.0,1.0,17511.95219123506,18.0
1083,24000,120,3.0,1.0,24028.34008097166,11.0
1084,17500,115,3.0,1.0,17669.88416988417,18.0
1085,48000,133,3.0,1.0,36896.33375474084,0.0
1086,18500,100,3.0,1.0,18485.221674876848,0.0
1087,36000,190,4.0,1.0,36000.0,21.0
1088,13500,115,3.0,1.0,13661.904761904761,33.0
1089,24000,125,3.0,1.0,23984.615384615383,0.0
1090,33000,135,3.0,1.0,33000.0,18.0
1091,15000,100,3.0,1.0,17895.505617977527,27.0
1092,44000,150,3.0,1.0,44000.0,10.0
1093,49500,150,3.0,1.0,33058.29596412556,11.0
1094,39000,200,4.0,1.0,38472.906403940884,22.0
